gene_id,variance,mean_expr,n_samples
FBgn0053510,0.3109936506484056,1.8473056142850959,41
FBgn0034618,0.31020628369347303,5.70244500039998,41
FBgn0028945,0.31009896225197586,2.0865187677740873,41
FBgn0036030,0.30917103071844615,7.52300501527134,41
FBgn0051106,0.3089897730906756,5.753034666464085,41
FBgn0263081,0.3068829798975475,5.263100033856392,41
FBgn0031428,0.3059078266247964,5.2786711325131925,41
FBgn0034295,0.3053712225331396,9.428245615210514,41
FBgn0051778,0.3046563691398701,4.20900199307656,41
FBgn0261859,0.30423646934125276,6.115054536223691,41
FBgn0039151,0.30422095036348257,6.649484166752314,41
FBgn0052447,0.30410116722321007,2.1030206955979183,41
FBgn0032281,0.3040084556935505,3.179944802060288,41
FBgn0035886,0.30353743834177593,0.676054031319564,41
FBgn0028646,0.3035178678813523,7.510940797702443,41
FBgn0032144,0.3034591158261994,7.692523280074945,41
FBgn0030157,0.3028971492522219,6.093425674019457,41
FBgn0259164,0.3023184897573884,3.021037700199877,41
